country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
USA,United States of America,Jordan Hydroelectric Project,USA0058390,4.4,35.6547,-79.0683,Hydro,,,,2012,Jordan Hydroelectric LTD PTP,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,14.674,12.632,12.87,11.637,9.895,
USA,United States of America,Jordanelle Dam Hydroelectric Project,USA0061853,13,40.5966,-111.4236,Hydro,,,,2008,Central Utah Water Conservancy District,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,50.21478,594.0113503
USA,United States of America,Joseph J Seymour Power Project,USA0007910,94,40.6631,-74,Gas,,,,2001,New York Power Authority,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,185.765,73.738,118.779,113.532,86.709,
USA,United States of America,Joseph M Farley,USA0006001,1776.4,31.2231,-85.1116,Nuclear,,,,1979.5,Alabama Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,33231,2017,14098.022,14505.389,14281.688,13687.256,14804.094,
USA,United States of America,Judge F Carr,USA0000442,154.4,40.6469,-122.627,Hydro,,,,1963,U S Bureau of Reclamation,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,35648,2017,423.712,338.338,248.667,133.554,359.686,
USA,United States of America,Judith Gap Wind Energy Center,USA0056377,135,46.5725,-109.7531,Wind,,,,2006,Invenergy Services LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,54043,2017,507.969,489.637,455.35,481.097,450.729,
USA,United States of America,Julesburg,USA0000504,2.8,40.9505,-102.2795,Oil,,,,1956.321429,City of Julesburg - (CO),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,23736,2017,0,0,0,0,0,
USA,United States of America,Julia Hills LLC,USA0055563,1.9,44.4231,-96.4458,Wind,,,,2001,CHI Operations Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,5.348,5.924,5.794,5.301,4.992,
USA,United States of America,Junction Hilltop Wind Farm,USA0058444,8,42.0989,-94.2692,Wind,,,,2012,Junction Hilltop Management LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,30.506,30.648,27.829,28.226,26.76,
USA,United States of America,Junction Road,USA0060265,4.4,40.5237,-74.8434,Solar,,,,2016,NJR Clean Energy Ventures Corporation,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,4.236,6.876,1.962081739
USA,United States of America,Juniata Locomotive Shop,USA0010302,1.5,40.5333,-78.3841,Gas,,,,2015,Norfork Southern Corp,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,8.881,7.12,0,,4.677,
USA,United States of America,Juniper Canyon I Wind Project,USA0057320,151.2,45.9215,-120.2355,Wind,,,,2011,Avangrid Renewables LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,62107,2017,325.108,338.845,307.443,322.142,297.163,
USA,United States of America,Juniper Networks Sunnyvale,USA0058301,1.1,37.4069,-122.0269,Gas,,,,2013,Bloom Energy,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,68299,2017,2.83239,5.217,6.137,6.751,7.777,
USA,United States of America,Juniper Ridge Hydroelectric Project,USA0057437,5,44.1427,-121.2697,Hydro,,,,2010,Central Oregon Irrigation Dist,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,58836,2017,13.118,13.957,13.017,13.125,12.951,
USA,United States of America,K W Company,USA0055007,1.4,42.5948,-114.4353,Hydro,,,,1985.285714,K-W Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,3.217,3.494,3.429,3.76,2.196,
USA,United States of America,K&D Energy LLC,USA0056626,4,43.6181,-95.4172,Wind,,,,2008,Ewington Wind Project,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,13.635,14.67,13.112,14.392,13.289,
USA,United States of America,K-Brink Windfarm LLC,USA0056206,2,44.0197,-96.1183,Wind,,,,2003,K-brink Windfarm  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,6.223,6.634,4.979,4.343,6.489,
USA,United States of America,KC Energy LLC,USA0056625,4,43.6292,-95.4169,Wind,,,,2008,Ewington Wind Project,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,14.269,15.586,14.637,14.538,13.984,
USA,United States of America,KCP&L SmartGrid Innovation Park,USA0059772,1,39.0403,-94.5712,Storage,,,,2012,Kansas City Power & Light Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,0,0,
USA,United States of America,KIUC Kapaia PV and BA Storage Project,USA0060546,28,21.9973,-159.3792,Solar,Storage,,,2017,Tesla Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,13.256,12.4859747
USA,United States of America,KODE Novus I,USA0057516,80,36.5439,-101.3936,Wind,,,,2012,DeWind Co.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,63398,2017,176.472,242.593,214.63,147.30145,0.919,
USA,United States of America,KODE Novus II,USA0057889,40,36.549,-101.4959,Wind,,,,2013,DeWind Co.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,63398,2017,94.228,130.212,105.655,47.4706,0,
USA,United States of America,KRS I Anahola Solar,USA0058639,18,22.1317,-159.3031,Solar,Storage,,,2015,Kauai Island Utility Cooperative,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,6.925,-41.889,21.171,8.026698023
