country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017
USA,United States of America,Helzel & Schwarzhoff 88 Wind Farm,USA0052165,1.8,35.0908,-118.3936,Wind,1987,Terra-Gen 251 Wind  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,2.818,2.58,2.124,1.717,1.87
USA,United States of America,Heritage Garden Wind Farm I LLC,USA0058103,28,45.7956,-86.5339,Wind,2012,Heritage Garden Wind Farm I LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,62740,2017,79.92,83.392,82.059,79.808,79.87
USA,United States of America,Hidalgo Wind Farm LLC,USA0057617,250,26.4656,-98.4111,Wind,2017,Hidalgo Wind Farm LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,70685,2017,,,,59.161,884.39
USA,United States of America,High Lonesome Mesa LLC,USA0056945,100,34.4667,-105.9625,Wind,2009,NRG Energy Gas & Wind Holdings Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,58725,2017,263.144,276.224,243.512,286.435,294.047
USA,United States of America,High Mesa,USA0058019,40,42.88,-115.0367,Wind,2013,High Mesa Energy  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,67488,2017,89.198,97.746,80.914,99.294,86.357
USA,United States of America,High Plains,USA0056834,10,35.3503,-101.54,Wind,2008,High Plains Wind Power LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,31.084,28.987,26.516,29.794,28.715
USA,United States of America,High Plains,USA0057040,99,41.6751,-106.0111,Wind,2009,PacifiCorp,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,58765,2017,341.25,324.218,250.864,316.175,279.904
USA,United States of America,High Sheldon Wind Farm,USA0056953,112,42.7794,-78.4269,Wind,2009,Invenergy Services LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,57065,2017,267.335,270.677,258.144,267.599,230.66
USA,United States of America,High Trail Wind Farm LLC,USA0056338,198,40.4792,-88.7989,Wind,2007,High Trail Wind Farm LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,579.021,582.524,592.258,541.774,586.815
USA,United States of America,High Winds LLC,USA0056075,162,38.1381,-121.8053,Wind,2003,FPLE High Winds  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,50575,2017,383.364,331.412,346.775,314.276,308.459
USA,United States of America,Highland North Wind Farm,USA0057991,75,40.3196,-78.6806,Wind,2012,Everpower Wind Holdings Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,198.72,211.196,192.313,198.012,206.443
USA,United States of America,Highland Wind Project (IA),USA0058883,502,43.0803,-95.6561,Wind,2015,MidAmerican Energy Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,63894,2017,,,549.863,1809.682,1726.146
USA,United States of America,Highland Wind Project (PA),USA0057139,62.5,40.3042,-78.6908,Wind,2009,Everpower Wind Holdings Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,63894,2017,138.7,148.828,129.457,137.512,147.258
USA,United States of America,Hilltop Power,USA0061788,2,43.9129,-96.1932,Wind,2009,Hilltopper Power  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,3.769
USA,United States of America,Hog Creek Wind Project,USA0061330,66,40.7931,-83.7287,Wind,2018,Hog Creek Wind Project LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,11.993
USA,United States of America,Hoopeston Wind LLC,USA0059021,98,40.3997,-87.7992,Wind,2015,Hoopeston Wind LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,68049,2017,,,277.265,324.822,369.433
